,prix,processseur,système d'exploitation,carte vidéo,mémoire,disque dur ,écran, clavier,couleur, sans fil,batterie principale,support de ressource du système, câbles, service du support, logiciel de productivité,logiciel de sécurité, , , , 
cn55524,"699,30 €","Processeur Intel® Core™ i5-10500H de 10e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce® GTX 1650 avec 4 Go de mémoire GDDR6,8 Go (1 x 8 Go) de mémoire DDR4 2 933 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnementPage d’accueil Dell de conformité légaleDell et l’environnementP105F001P105F002Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux réglementations Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cng3027,"829,18 €","Intel® Core™ i5-10300H de 10e génération (8 Mo de mémoire cache, jusqu‘à 4,5 GHz, 4 coeurs)","Windows 10 Famille 64 bits, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce® GTX 1650 avec 4 Go de mémoire GDDR6,"8Go DDR4-2933MHz, 2x4Go",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 10 Professionnel 64 bits, anglais, arabe, français, russe, turc",Capot Eclipse Black sans mDP et sans USB-C,802.11ac 1x1 Wi-Fi et Bluetooth,"Batterie à 3 cellules, 51 Wh (intégrée)",Cordon d‘alimentation européen,"Documents d‘expédition : anglais, français, allemand, italien, néerlandais","Étiquette repose-poignets, français",Adaptateur secteur E4 de 130 watts,Support de récupération USB non inclus,"Logiciels supplémentaires, Windows","ENERGY STAR® 8.0Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil Dell de conformité légale (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",Expédition standard (L),Expédition maritime
cn55401sc11,"949,31 €",Processeur mobile AMD Ryzen™ 5 5600H 6 coeurs/12 threads,1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 avec 4 Go de mémoire GDDR6,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Phantom Grey moucheté,Killer Wi-Fi 6 AX1650 (2x2) et Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,"Documents d‘expédition : anglais, français, allemand, italien, néerlandais",1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux normes Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",3 Années,Abonnement,
cng5106sc11,"999,30 €","Processeur Intel® Core™ i5-11400H de 11e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)",1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,8 Go de mémoire DDR4 2 933 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Dark Shadow Grey,Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth 5.1,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",3 Années,Abonnement,,
cn55522,"999,30 €","Processeur Intel® Core™ i5-10500H de 10e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,"16 Go, 2 x 8 Go de mémoire DDR4 à 2 933 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnementPage d’accueil Dell de conformité légaleDell et l’environnementP105F001P105F002Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux réglementations Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cn55517,"999,30 €","Processeur Intel® Core™ i5-10500H de 10e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce® GTX 1650 avec 4 Go de mémoire GDDR6,8 Go (1 x 8 Go) de mémoire DDR4 2 933 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnementPage d’accueil Dell de conformité légaleDell et l’environnementP105F001P105F002Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux réglementations Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cn55403,"999,30 €",Processeur mobile AMD Ryzen™ 5 5600H 6 coeurs/12 threads,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 avec 4 Go de mémoire GDDR6,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Killer Wi-Fi 6 AX1650 (2x2) et Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,"Documents d‘expédition : anglais, français, allemand, italien, néerlandais",1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux normes Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",,,
cn55538,"1 099,30 €","10th Generation Intel® Core™ i5-10200H (8MB Cache, up to 4.1 GHz, 4 cores)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,8 Go (1 x 8 Go) de mémoire DDR4 2 933 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnementPage d’accueil Dell de conformité légaleDell et l’environnementP105F001P105F002Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux réglementations Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cng5122,"1 149,30 €","Processeur Intel® Core™ i5-11400H de 11e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 avec 4 Go de mémoire GDDR6,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth 5.1,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cng3011,"1 169,18 €","Processeur Intel® Core™ i7-10750H de 10e génération (12 Mo de mémoire cache, jusqu‘à 5 GHz, 6 coeurs)","Windows 10 Famille 64 bits, anglais, néerlandais, français, allemand, italien",Carte NVIDIA® GeForce RTX™ 2060 avec 6 Go de mémoire GDDR6 (OC Ready),"16Go DDR4-2933MHz, 2x8Go",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" Full HD (1 920 x 1 080) antireflet, 300 cd/m², avec grand angle de vue et rétroéclairage par LED, non tactile, taux d‘actualisation de 144 Hz","Windows 10 Professionnel 64 bits, anglais, arabe, français, russe, turc",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi et Bluetooth 5.0,"Batterie à 4 cellules, 68 Wh (intégrée)",Cordon d‘alimentation européen (240 W/330 W),"Documents d‘expédition : anglais, français, allemand, italien, néerlandais","Étiquette repose-poignets, français",Adaptateur CA de 240 W,Support de récupération USB non inclus,"Logiciels supplémentaires, Windows","ENERGY STAR® 8.0Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil Dell de conformité légale (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)","Clavier rétroéclairé RVB 4 zones avec pavé numérique et touche G, anglais américain (QWERTY) - caractères blancs",
cng5118,"1 249,29 €","Processeur Intel® Core™ i5-11400H de 11e génération (12 Mo de mémoire cache, jusqu‘à 4,5 GHz, 6 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth 5.1,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cn55411,"1 249,29 €",Processeur mobile AMD Ryzen™ 7 5800H 8 coeurs/16 threads,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Killer Wi-Fi 6 AX1650 (2x2) et Bluetooth,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,"Documents d‘expédition : anglais, français, allemand, italien, néerlandais",1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux normes Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",,,
cn55409,"1 249,30 €",Processeur mobile AMD Ryzen™ 7 5800H 8 coeurs/16 threads,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Killer Wi-Fi 6 AX1650 (2x2) et Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),"Documents d‘expédition : anglais, français, allemand, italien, néerlandais",1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux normes Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)","Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",,,
cn55521sc11,"1 299,30 €","10th Generation Intel® Core™ i7-10870H (16MB Cache, up to 5.0 GHz, 8 cores)",1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go de mémoire DDR4 à 2 933 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Dark Shadow Grey,Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnementPage d’accueil Dell de conformité légaleDell et l’environnementP105F001P105F002Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux réglementations Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",3 Années,Abonnement,,
cng5101,"1 399,29 €","Processeur Intel® Core™ i7-11800H de 11e génération (24 Mo de mémoire cache, jusqu‘à 4,6 GHz, 8 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth 5.1,"Batterie à 3 cellules, 56 Wh (intégrée)",Support de récupération USB non inclus,Cordon d‘alimentation européen,1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cn55408sc11,"1 399,29 €",Processeur mobile AMD Ryzen™ 7 5800H 8 coeurs/16 threads,1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 1 To,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Phantom Grey moucheté,Killer Wi-Fi 6 AX1650 (2x2) et Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),"Documents d‘expédition : anglais, français, allemand, italien, néerlandais",1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité aux normes Dell (en anglais)Dell et l’environnementINDICE DE RÉPARABILITÉ",3 Années,Abonnement,
cng5121sc11,"1 399,31 €","Processeur Intel® Core™ i7-11800H de 11e génération (24 Mo de mémoire cache, jusqu‘à 4,6 GHz, 8 coeurs)",1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 1 To,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Obsidian Black,Killer™ Wi-Fi 6 AX1650 (2x2) 802.11ax sans fil et Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",3 Années,Abonnement,,
cng5110sc11,"1 449,30 €","Processeur Intel® Core™ i7-11800H de 11e génération (24 Mo de mémoire cache, jusqu‘à 4,6 GHz, 8 coeurs)",1 an de service d‘enlèvement et retour à l‘atelier - Aucune extension de garantie,"Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,2 Années,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), français (AZERTY)",Obsidian Black,Killer™ Wi-Fi 6 AX1650 (2x2) 802.11ax sans fil et Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",3 Années,Abonnement,,
cng5113,"1 549,29 €","Processeur Intel® Core™ i7-11800H de 11e génération (24 Mo de mémoire cache, jusqu‘à 4,6 GHz, 8 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6"" FHD (1 920 x 1 080) 120 Hz, 250 cd/m², antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth 5.1,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
cng5108,"1 599,30 €","Processeur Intel® Core™ i7-11800H de 11e génération (24 Mo de mémoire cache, jusqu‘à 4,6 GHz, 8 coeurs)","Windows 11 Famille, anglais, néerlandais, français, allemand, italien",Carte graphique NVIDIA® GeForce RTX™ 3060 avec 6 Go de mémoire GDDR6,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,"Écran 15,6 pouces FHD (1 920 x 1 080) 360 Hz, antireflet, avec grand angle de vue et rétroéclairage par LED, bordure fine","Windows 11 Professionnel, anglais, néerlandais, français, allemand, italien",Killer™ Wi-Fi 6 AX1650 (2x2) 802.11ax sans fil et Bluetooth,Batterie intégrée à 6 cellules 86 Wh,Support de récupération USB non inclus,Cordon d‘alimentation européen (240 W/330 W),1 an de service aller et retour atelier,"Fiches techniques sur la sécurité des produits, la compatibilité électromagnétique et l’environnement (en anglais)Page d’accueil de conformité légale Dell (en anglais)Dell et l’environnement INDICE DE RÉPARABILITÉ",Ubuntu Linux 20.04,"Clavier rétroéclairé intégré avec pavé numérique (sans touche G), américain/international (QWERTY)",,,,
